"OPE ID",School,State,"Zip Code","School Type",Recipients,"num originated","amt originated","num disbursed","amt disbursed"
147000,"EASTERN FLORIDA STATE COLLEGE                                         ",FL,329226503,Public,2841,2849,10833592,2849,5418066
147100,"COLLEGE OF CENTRAL FLORIDA                                            ",FL,344744415,Public,1664,1664,6067013,1666,3038254
147500,"DAYTONA STATE COLLEGE                                                 ",FL,321142800,Public,1733,1736,5746074,1771,2900515
147700,"FLORIDA SOUTHWESTERN STATE COLLEGE                                    ",FL,339195566,Public,1990,2014,7653080,2014,3832671
147800,"EDWARD WATERS COLLEGE                                                 ",FL,322096199,Private-Nonprofit,406,406,1706351,408,853204
147900,"EMBRY-RIDDLE AERONAUTICAL UNIVERSITY                                  ",FL,321143900,Private-Nonprofit,3917,3959,16203508,4118,7695062
148000,"FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY                          ",FL,323073100,Public,3405,3427,13531738,3450,6838588
148100,"FLORIDA ATLANTIC UNIVERSITY                                           ",FL,334316498,Public,6987,6987,30091766,7032,15332395
148200,"FLORIDA COLLEGE                                                       ",FL,336175578,Private-Nonprofit,158,158,698500,158,347750
148400,"FLORIDA STATE COLLEGE AT JACKSONVILLE                                 ",FL,322024030,Public,2742,2742,11469868,2742,5747273
148500,"FLORIDA KEYS COMMUNITY COLLEGE                                        ",FL,330404397,Public,112,114,413664,114,209741
148600,"FLORIDA MEMORIAL UNIVERSITY                                           ",FL,330546199,Private-Nonprofit,795,795,3155976,840,1629063
148800,"FLORIDA SOUTHERN COLLEGE                                              ",FL,338015698,Private-Nonprofit,1019,1021,4377270,1021,2240842
148900,"FLORIDA STATE UNIVERSITY                                              ",FL,323061470,Public,7707,7707,16855284,7835,16842355
149000,"GULF COAST STATE COLLEGE                                              ",FL,324011058,Public,451,451,1589352,452,794725
149300,"INDIAN RIVER STATE COLLEGE                                            ",FL,349815596,Public,972,975,3985902,975,2016658
149500,"JACKSONVILLE UNIVERSITY                                               ",FL,322113394,Private-Nonprofit,866,866,3862979,866,1831904
149700,"JONES COLLEGE                                                         ",FL,322055395,Private-Nonprofit,144,144,477706,144,253464
